Designator,Footprint,Quantity,Value,LCSC Part #
B1,SW_Push_SPST_NO_Alps_SKRK,1,BOOT,
B2,SW_Push_SPST_NO_Alps_SKRK,1,RESET,
"C1, C2",0805,2,100nF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D2, D20, D21, D22, D23, D3, D4, D5, D6, D7, D8, D9",0805,22,D_Small_Filled,
"J1, J2",TYPE-C-31-M-14_Reversible,2,USB_C_Receptacle_USB2.0,
L1,0402,1,PWR/USR LED,C130724
R1,0402,1,1k,C11702
"R2, R4, R5",0805,3,5.1k,
"R3, R6",0805,2,0,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW2, SW20, SW21, SW22, SW23, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Hotswap_Kailh_Choc_MX_1.00u,22,SW_Push_45deg,
"U1, U3",SOT-23-6,2,USBLC6-2SC6,
U2,SOT-23-3,1,CH213K,
U4,TSSOP-20_4.4x6.5mm_P0.65mm,1,CH552T,
